"pod__timereceive","pod__coordinate","custom_field__cod"
2026-01-01 13:00:02.000,"-6.9598433,107.66251",NONCOD
2026-01-02 11:22:25.000,"-6.9109613,107.5757826",NONCOD
2026-01-03 12:54:36.000,"-6.9147013,107.6645523",NONCOD
2026-01-03 14:22:21.000,"-6.8992168,107.6239098",NONCOD
2026-01-03 12:22:19.000,"-6.9365823,107.6074941",NONCOD
2026-01-03 12:22:15.000,"-6.9408752,107.6572571",NONCOD
2026-01-03 15:25:13.000,"-6.8931577,107.6294434",NONCOD
2026-01-03 12:14:49.000,"-6.9214438,107.5821506",NONCOD
2026-01-03 12:27:27.000,"-6.9243055,107.6265373",NONCOD
2026-01-03 14:22:00.000,"-6.9195421,107.580699",NONCOD
2026-01-03 12:26:01.000,"-6.9415424,107.6545374",NONCOD
2026-01-03 13:04:46.000,"-6.98019,107.6552024",NONCOD
2026-01-03 12:58:22.000,"-6.9099845,107.5960351",NONCOD
2026-01-03 11:17:51.000,"-6.930475,107.53521",NONCOD
2026-01-03 12:14:41.000,"-6.9619883,107.664405",NONCOD
2026-01-03 14:07:17.000,"-6.911726,107.5821376",NONCOD
2026-01-03 11:54:26.000,"-6.9350651,107.6642495",NONCOD
2026-01-03 13:58:50.000,"-6.8979882,107.6218064",NONCOD
2026-01-03 16:30:48.000,"-6.8983712,107.6377337",NONCOD
2026-01-03 14:59:30.000,"-6.8176784,107.6302425",NONCOD
2026-01-03 13:43:08.000,"-6.9217228,107.617163",NONCOD
2026-01-03 14:14:56.000,"-6.8978327,107.6346648",NONCOD
2026-01-03 11:49:34.000,"-6.9138733,107.6043283",NONCOD
2026-01-03 12:54:32.000,"-6.9031611,107.6116069",NONCOD
2026-01-03 10:07:55.000,"-6.981893,107.6338909",NONCOD
2026-01-03 14:42:51.000,"-6.9485751,107.5942967",NONCOD
2026-01-03 14:48:54.000,"-6.9152201,107.5910759",NONCOD
2026-01-03 12:40:05.000,"-6.9119279,107.6066476",NONCOD
2026-01-03 14:24:01.000,"-6.9507315,107.6380119",NONCOD
2026-01-03 20:18:35.000,"-6.8221906,107.3461279",NONCOD
2026-01-03 15:02:56.000,"-6.9550478,107.6102252",NONCOD
2026-01-03 13:21:47.000,"-6.9192083,107.6152933",NONCOD
2026-01-03 15:07:45.000,"-6.9462771,107.6085307",NONCOD
2026-01-03 13:31:03.000,"-6.928236,107.644501",NONCOD
2026-01-03 12:33:37.000,"-6.9024617,107.5974483",NONCOD
2026-01-03 12:55:57.000,"-6.9141354,107.6094887",NONCOD
2026-01-03 12:18:07.000,"-6.9403872,107.6588331",NONCOD
2026-01-03 12:58:59.000,"-6.9149162,107.608762",NONCOD
2026-01-03 12:57:47.000,"-6.8918764,107.6152341",NONCOD
2026-01-04 13:50:26.000,"-6.9360009,107.5952764",NONCOD
2026-01-04 14:10:57.000,"-6.9091178,107.6087297",NONCOD
2026-01-04 13:51:24.000,"-6.9406741,107.7389612",NONCOD
